Category,ServiceType,title,subtitle,slug,excerpt (One line description for SEO),startingPrice,startingPriceUnit,startingPriceSuffix,description,sampleWork,orderCount,ratingValue,tags,serviceType,Banner
"startup-and-business, design-and-graphics, social-media-and-branding",FIXED,"99x will craft Logo Concepts, Incorporate Revisions and deliver Final files as per the Brand Requirements",Get Professionally Designed Logo for your Brand,logo-design,Professional Logo Design by a Studio for your brand,299,USD,Per Logo,"Get Gorgeous Logo Design for your brand as per your requirement. Popular themes include Consumer Brands, High Tech, SaaS, e-Commerce and Businesses",Check out Logo Design Case Studies for your reference,5,4.3,logo design,One-Time,logo-design.jpg
"startup-and-business, design-and-graphics, social-media-and-branding",FIXED,"99x will craft Brand Identity, Colors, Typography, Usage for your business",Get a Professionally Designed Brand Styleguide,brand-identity-styleguide,Professional Brand Identity for your Brand,199,USD,Per Kit,"Get Gorgeous Brand Identity Styleguide for your brand as per your requirement. Includes Brand Playbook, color palette, topography guidelines, iconography,",Check out Brand Identity Case Studies for your reference,5,4.4,Brand Identity Styleguide,One-Time,brand-identity-styleguide.jpg
"startup-and-business, design-and-graphics, social-media-and-branding",FIXED,99x will design Pitch Deck or Business Presentations for your company,Get a Professionally designed presentation customized with Graphics,business-deck,Professional Business Deck & Presentations,10,USD,Per Slide,Get professional Business or Pitch Deck for your business as per your requirement. ,Check out Business Deck/Pitch Deck Case Studies for your reference,5,4.8,"business deck, pitch deck",One-Time,business-deck.jpg
"startup-and-business, design-and-graphics, social-media-and-branding",FIXED,99x will craft Branding & Stationary Essentials for your business.,Get a Professionally Designed Branding Stationery Kit,branding-stationery,Branding & Stationery Essentials,129,USD,Per Kit,Get a Professionally Designed Branding Stationery Kit,Check out Branding & Stationary Essentials Case Studies for your reference,5,4.5,branding stationery,One-Time,branding-stationery.jpg
"startup-and-business, ui-ux",FIXED,99x will design compelling Website Pages for your Business,Get a professional web UI-UX Design that your users love,web-design,Website Design,79,USD,Per Page,Get a professional web UI-UX Design that your users love,Check out Web Design Case Studies for your reference,5,4.7,web design,One-Time,web-design.jpg
"startup-and-business, ui-ux",FIXED,99x will design compelling App Pages for your Business,Get a professional App UI-UX Design that your users love,app-design,App Design,49,USD,Per Screen,Get a professional App UI-UX Design that your users love,Check out App Design Case Studies for your reference,5,4.6,app design,One-Time,app-design.jpg
" design-and-graphics, social-media-and-branding",FIXED,99x will create an unique & custom logo animation for your business,Get an eye catching logo animation,logo-animation,Logo Animation,199,USD,Per Animation,Get an eye catching logo animation,Check out Logo Animation Case Studies for your reference,5,4.4,logo animation,One-Time,logo-animation.jpg
ui-ux,FIXED,99x will create & build a UI-UX Design System for your website or App,Get a professionally crafted UI-UX Design System,design-system,Design System for UI-UX,299,USD,Per Brand,Get a professionally crafted UI-UX Design System,Check out UI-UX Design System Case Studies for your reference,5,4.1,design-system,One-Time,design-system.jpg
"digital-marketing-and-seo, 
monthly-subscriptions",SUBSCRIPTION,"99x will Create, Manage and Optimize your Digital Marketing Campaigns",Get your Digital Marketing Campaigns up and running with 99x,digital-marketing-retainer,"99x will Create, Manage and Optimize your Digital Marketing Campaigns",199,USD,Per Month,"99x will Create, Manage and Optimize your Digital Marketing Campaigns",Check out Digital Marketing Case Studies for your reference,5,4.6,"Digital Marketing, Online Marketing, Facebook Ads, Instagram Ads, Linkedin Ads, Search Ads, Display Ads, YouTube Ads, Twitter Ads,Cross Channel Marketing, Remarketing, Ad Automation, Ad inteligence",Fixed,"digital-marketing-retainer-1.png, digital-marketing-retainer-2.jpeg, digital-marketing-retainer-3.jpg, digital-marketing-retainer-4.jpg,  digital-marketing-retainer-5.png"
"digital-marketing-and-seo, 
monthly-subscriptions",SUBSCRIPTION,"99x will Manage your SEO (Includes Technical, On-Page, Off-Page SEO & Content) and drive Organic Users","Get Comprehensive SEO Management from Technical SEO, On-Page SEO, Off-Page SEO  to Content Writing",seo-retainer,"99x will Manage your SEO (Includes Technical, On-Page, Off-Page SEO & Content) and drive Organic Users",199,USD,Per Month,"99x will Manage your SEO (Includes Technical, On-Page, Off-Page SEO & Content) and drive Organic Users",Check out SEO Case Studies for your reference,5,4.6,"SEO Audit, website Audit, Keyword Research, On-Page SEO, Technical-SEO, Off-Page SEO, Link Building, Guest Posting, Blogger outreach, Email Outreach, Meta Tags, on Page Content, URL , XML site map, Robots.txt, featured snippets, penalty removal, ",Fixed,"seo-retainer-1.png, seo-retainer-2.png, seo-retainer-3.png, seo-retainer-4.png,  seo-retainer-5.jpg"
"digital-marketing-and-seo, 
monthly-subscriptions",SUBSCRIPTION,"99x will Create Content, Graphics and manage your Content Marketing",Get Professionally crafted Content with Graphics for your Business,content-marketing-retainer,"99x will Create Content, Graphics and manage your Content Marketing",199,USD,Per Month,"99x will Create Content, Graphics and manage your Content Marketing",Check out Content Marketing Case Studies for your reference,5,4.6,"Content strategy, Content curation, content distribution, content curation, content engagement, thought leadership, long form articles, blog posts, infographics, social media posts,slideshare.",Fixed,"content-marketing-retainer-1.jpg, content-marketing-retainer-2.png, content-marketing-retainer-3.png, content-marketing-retainer-4.png"
"digital-marketing-and-seo, 
monthly-subscriptions,
social-media-and-branding",SUBSCRIPTION,99x will create and manage your Video Marketing,Get Video Views and Create exciting Videos with 99x on multiple channels,video-marketing-retainer,99x will create and manage your Video Marketing,199,USD,Per Month,99x will create and manage your Video Marketing,Check out Video Marketing Case Studies for your reference,5,4.6,"Video creation, video strategy, Animation, Motion graphics, Brand Video, Product Animation, Product Design, Video Voice Over, 3D animation, 3D mock up, Video Marketing, Video enagagement",Fixed,"video-marketing-retainer-1.mp4, video-marketing-retainer-2.mp4"
